recordsInserted,logicalReads,logicalWrites,physicalReads,physicalWrites,cacheHits,cacheMisses
500,921,10,1,2,921,1
1000,1929,18,1,2,1929,1
1500,2869,100,72,160,2869,72
2000,3696,285,251,530,3696,251
2500,4458,547,501,1054,4458,501
3000,5171,848,795,1656,5171,795
3500,5856,1173,1115,2306,5856,1115
4000,6518,1529,1462,3018,6518,1462
4500,7176,1895,1816,3750,7176,1816
5000,7807,2292,2199,4544,7807,2199
5500,8416,2691,2594,5342,8416,2594
6000,9030,3091,2987,6142,9030,2987
6500,9634,3495,3387,6950,9634,3387
7000,10224,3919,3804,7798,10224,3804
7500,10815,4346,4222,8652,10815,4222
8000,11587,4783,4649,9526,11587,4649
8500,12662,5234,5087,10428,12662,5087
9000,13731,5685,5528,11330,13731,5528
9500,14792,6146,5978,12252,14792,5978
10000,15865,6593,6415,13146,15865,6415
